"filename", "language", "JSON", "Markdown", "mcfunction", "comment", "blank", "total"
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\apply\remove\second.mcfunction", "mcfunction", 0, 0, 6, 0, 1, 7
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\apply\remove\third.mcfunction", "mcfunction", 0, 0, 6, 0, 1, 7
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\apply\second.mcfunction", "mcfunction", 0, 0, 6, 0, 1, 7
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\apply\third.mcfunction", "mcfunction", 0, 0, 6, 0, 1, 7
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\load_books\first.mcfunction", "mcfunction", 0, 0, 7, 0, 1, 8
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\load_books\kick_items\first.mcfunction", "mcfunction", 0, 0, 6, 0, 0, 6
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\load_books\kick_items\main.mcfunction", "mcfunction", 0, 0, 3, 0, 0, 3
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\load_books\kick_items\second.mcfunction", "mcfunction", 0, 0, 6, 0, 0, 6
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\load_books\kick_items\third.mcfunction", "mcfunction", 0, 0, 6, 0, 1, 7
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\load_books\main.mcfunction", "mcfunction", 0, 0, 7, 0, 1, 8
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\load_books\second.mcfunction", "mcfunction", 0, 0, 7, 0, 1, 8
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\load_books\third.mcfunction", "mcfunction", 0, 0, 7, 0, 1, 8
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\main.mcfunction", "mcfunction", 0, 0, 5, 0, 2, 7
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_crafting_table\wand\remove_wand.mcfunction", "mcfunction", 0, 0, 3, 0, 0, 3
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_flower\destroy.mcfunction", "mcfunction", 0, 0, 4, 0, 0, 4
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\magical_flower\place.mcfunction", "mcfunction", 0, 0, 6, 0, 2, 8
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\main.mcfunction", "mcfunction", 0, 0, 4, 0, 1, 5
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\blocks\main_place.mcfunction", "mcfunction", 0, 0, 3, 0, 2, 5
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\config.mcfunction", "mcfunction", 0, 0, 2, 3, 2, 7
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\craft\magical_crafting_table.mcfunction", "mcfunction", 0, 0, 9, 0, 0, 9
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\craft\magical_crystal.mcfunction", "mcfunction", 0, 0, 9, 0, 1, 10
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\craft\wand.mcfunction", "mcfunction", 0, 0, 9, 0, 1, 10
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\dev\dev_stone\swap_spell\down.mcfunction", "mcfunction", 0, 0, 7, 0, 0, 7
